RegistrationID,Name,Location,Specialization
S0029113,Association Of Integrated Applied Studies,North 24 Parganas (WB),Biological & Mental Health Research
010120024R,Adarsh Community Development Trust,Anantpur (AP),Cultural
010120029R,Accion Fraterna Trust,Anantpur (AP),Drought Ecology & Rural Dev
010230485R,Agape Multipurpose Urban & Rural Assn,Hyderabad (Telangana),Education & Social Welfare
010230487R,Assn for Launching Awareness in Rural Masses,Hyderabad (Telangana),Rural Awareness & Advocacy
010230497R,Adams Educational Society,Hyderabad (Telangana),Education
010230512R,Ankuram Sangamam,Secunderabad (Telangana),Economic Empowerment & SHGs
010230528R,A.P. Velama Association,Hyderabad (Telangana),Social Community Welfare
076000043R,Action For Rural Awareness,Salem (Tamil Nadu),Social Awareness
076000062R,Asoociatioin Salem,Salem (Tamil Nadu),Education
076000066R,All India Dr. Ambedkar Trust,Namakkal (Tamil Nadu),Social Justice & Dalit Rights
076000071R,Acwerk Rural Development Foundation,Salem (Tamil Nadu),Rural Development
076000110R,Agape Christian Mission,Salem (Tamil Nadu),Religious (Christian) & Social
076000113R,Aravanaikkum Karangal,Salem (Tamil Nadu),Economic & Educational Support
076000121R,Allwin Educational Charitable Trust,Salem (Tamil Nadu),Educational Charity
076000132R,Anderson Educational and Charitable Trust,Salem (Tamil Nadu),Education
076000147R,Action for Disabled and Depressed in India,Salem (Tamil Nadu),Disability Rights & Mental Health
076010004R,Alc - Comprmensive Development Project,Villupuram (TN),Tribal Development
076010005R,A.L.C. High School,Villupuram (TN),Tribal Education
076010006R,Arcot Luthern Church 1,Cuddalore (TN),Religious & Social Service
076010007R,Arcot Lutheran Church Hostel For Tribal Children,Villupuram (TN),Tribal Child Welfare & Housing
076010010R,Arcot Luthern Church School Project,Villupuram (TN),Education Project
076010018R,Association For Community Training,South Arcot (TN),Community Training & Capacity Building
076010053R,Auroville Foundation,Villupuram (TN),Sustainable Living
S0003467,Alipurduar Nilkanta Mukherjee Welfare Society,Alipurduar (WB),Human Rights & Legal Awareness
S/1L/97571,Alipurduar Anubhav Foundation,Alipurduar (WB),Health & Family Welfare
